ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 08:00:00,801.0,1999.0,-1198.0,236.14,235.83,236.14,235.985
2024-10-22 08:00:01,201.0,202.0,-1.0,236.13,235.83,236.13,235.98
2024-10-22 08:00:02,1600.0,1400.0,200.0,235.83,235.83,236.11,235.97
2024-10-22 08:00:03,534.0,400.0,134.0,236.1,235.96,236.1,236.03
2024-10-22 08:00:04,400.0,502.0,-102.0,236.11,235.96,236.11,236.035
2024-10-22 08:00:05,464.0,869.0,-405.0,236.11,235.96,236.11,236.035
2024-10-22 08:00:08,116.0,760.0,-644.0,236.09,235.96,236.09,236.025
2024-10-22 08:00:09,2245.0,4211.0,-1966.0,235.83,235.81,235.83,235.82
2024-10-22 08:00:12,45.0,2341.0,-2296.0,236.01,235.81,236.01,235.91
2024-10-22 08:00:16,3408.0,2846.0,562.0,235.97,235.81,235.97,235.89
2024-10-22 08:00:18,3372.0,1962.0,1410.0,235.71,235.71,235.81,235.76
2024-10-22 08:00:21,1800.0,4466.0,-2666.0,235.93,235.71,235.93,235.82
2024-10-22 08:00:34,3030.0,2501.0,529.0,235.69,235.57,235.71,235.64
2024-10-22 08:00:35,38.0,1020.0,-982.0,235.71,235.57,235.71,235.64
2024-10-22 08:00:36,1.0,2.0,-1.0,235.71,235.57,235.71,235.64
2024-10-22 08:00:39,77.0,402.0,-325.0,235.71,235.57,235.71,235.64
2024-10-22 08:00:40,0.0,0.0,0.0,235.58,235.57,235.71,235.64
2024-10-22 08:00:47,70.0,540.0,-470.0,235.71,235.57,235.71,235.64
2024-10-22 08:00:59,1200.0,709.0,491.0,235.57,235.57,235.71,235.64
2024-10-22 08:01:03,683.0,2835.0,-2152.0,235.64,235.64,235.93,235.785
2024-10-22 08:01:04,1296.0,2442.0,-1146.0,235.64,235.64,235.93,235.785
2024-10-22 08:01:05,760.0,0.0,760.0,235.65,235.65,235.93,235.79
2024-10-22 08:01:07,76.0,12.0,64.0,235.65,235.65,235.93,235.79
2024-10-22 08:01:08,64.0,0.0,64.0,235.65,235.65,235.93,235.79
2024-10-22 08:01:09,64.0,0.0,64.0,235.65,235.65,235.93,235.79
2024-10-22 08:01:11,96.0,462.0,-366.0,235.92,235.66,235.92,235.79
2024-10-22 08:01:13,32.0,0.0,32.0,235.65,235.65,235.92,235.785
2024-10-22 08:01:14,96.0,403.0,-307.0,235.93,235.66,235.93,235.795
2024-10-22 08:01:15,32.0,0.0,32.0,235.67,235.67,235.93,235.8
2024-10-22 08:01:16,48.0,0.0,48.0,235.68,235.57,235.93,235.75
2024-10-22 08:01:17,0.0,400.0,-400.0,235.92,235.57,235.92,235.745
2024-10-22 08:01:18,16.0,5.0,11.0,235.67,235.67,235.92,235.795
2024-10-22 08:01:19,16.0,0.0,16.0,235.67,235.57,235.92,235.745
2024-10-22 08:01:23,800.0,400.0,400.0,235.91,235.57,235.91,235.74
2024-10-22 08:01:24,410.0,400.0,10.0,235.95,235.57,235.95,235.76
2024-10-22 08:01:28,400.0,400.0,0.0,235.6,235.6,235.97,235.785
2024-10-22 08:01:34,3000.0,3000.0,0.0,235.62,235.62,235.97,235.795
2024-10-22 08:01:35,856.0,856.0,0.0,235.95,235.61,235.95,235.78
2024-10-22 08:01:38,400.0,0.0,400.0,235.62,235.62,235.95,235.785
2024-10-22 08:01:56,454.0,432.0,22.0,235.63,235.63,235.96,235.795
2024-10-22 08:02:04,16.0,0.0,16.0,235.68,235.68,235.96,235.82
2024-10-22 08:02:05,496.0,0.0,496.0,235.69,235.69,235.96,235.825
2024-10-22 08:02:06,64.0,400.0,-336.0,235.67,235.67,235.94,235.805
2024-10-22 08:02:07,32.0,59.0,-27.0,235.68,235.68,235.94,235.81
2024-10-22 08:02:08,400.0,400.0,0.0,235.95,235.68,235.95,235.815
2024-10-22 08:02:09,0.0,160.0,-160.0,235.84,235.68,235.84,235.76
2024-10-22 08:02:10,64.0,600.0,-536.0,235.66,235.66,235.84,235.75
2024-10-22 08:02:12,32.0,0.0,32.0,235.68,235.68,235.84,235.76
2024-10-22 08:02:13,32.0,0.0,32.0,235.67,235.67,235.84,235.755
2024-10-22 08:02:14,32.0,0.0,32.0,235.68,235.68,235.84,235.76
